CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102943943001EY0F;16/02/2025;18;0;0,444;;R
ES0031102943943001EY0F;16/02/2025;19;0,355;0;;R
ES0031102943943001EY0F;16/02/2025;20;0,422;0;;R
ES0031102943943001EY0F;16/02/2025;21;0,377;0;;R
ES0031102943943001EY0F;16/02/2025;22;1,154;0;;R
ES0031102943943001EY0F;16/02/2025;23;1,165;0;;R
ES0031102943943001EY0F;16/02/2025;24;0,716;0;;R
ES0031102943943001EY0F;17/02/2025;1;0,37;0;;R
ES0031102943943001EY0F;17/02/2025;2;0,268;0;;R
ES0031102943943001EY0F;17/02/2025;3;0,267;0;;R
ES0031102943943001EY0F;17/02/2025;4;0,256;0;;R
ES0031102943943001EY0F;17/02/2025;5;0,256;0;;R
ES0031102943943001EY0F;17/02/2025;6;0,254;0;;R
ES0031102943943001EY0F;17/02/2025;7;0,255;0;;R
ES0031102943943001EY0F;17/02/2025;8;0,258;0;;R
ES0031102943943001EY0F;17/02/2025;9;0,463;0;;R
ES0031102943943001EY0F;17/02/2025;10;0,676;0;;R
ES0031102943943001EY0F;17/02/2025;11;0;0,742;;R
ES0031102943943001EY0F;17/02/2025;12;0;2,102;;R
ES0031102943943001EY0F;17/02/2025;13;0;2,397;;R
ES0031102943943001EY0F;17/02/2025;14;0;2,394;;R
ES0031102943943001EY0F;17/02/2025;15;0;1,813;;R
ES0031102943943001EY0F;17/02/2025;16;0;1,427;;R
ES0031102943943001EY0F;17/02/2025;17;0;1,079;;R
ES0031102943943001EY0F;17/02/2025;18;0;0,464;;R
ES0031102943943001EY0F;17/02/2025;19;0,942;0;;R
ES0031102943943001EY0F;17/02/2025;20;0,913;0;;R
ES0031102943943001EY0F;17/02/2025;21;0,472;0;;R
ES0031102943943001EY0F;17/02/2025;22;0,259;0;;R
ES0031102943943001EY0F;17/02/2025;23;0,96;0;;R
ES0031102943943001EY0F;17/02/2025;24;0,491;0;;R
